name	formulaSalt	formulaMetabolite	smilesSalt	smilesMetabolite	molWeightSalt	exactMassMetabolite	conc	mix
17:0-14:1 PE-d5	C36H65D5NO8P	C36H65D5NO8P	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCC)C([2H])([2H])OP([O-])(=O)OCC[NH3+]	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCC)C([2H])([2H])OP(O)(=O)OCCN	680.959	680.5152889	25	UltimateSplashOne
17:0-16:1 PE-d5	C38H69D5NO8P	C38H69D5NO8P	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCC)C([2H])([2H])OP([O-])(=O)OCC[NH3+]	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCC)C([2H])([2H])OP(O)(=O)OCCN	709.013	708.5465891	50	UltimateSplashOne
17:0-18:1 PE-d5	C40H73D5NO8P	C40H73D5NO8P	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])([2H])OP([O-])(=O)OCC[NH3+]	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])([2H])OP(O)(=O)OCCN	737.067	736.5778892	75	UltimateSplashOne
17:0-20:3 PE-d5	C42H73D5NO8P	C42H73D5NO8P	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C([2H])([2H])OP([O-])(=O)OCC[NH3+]	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C([2H])([2H])OP(O)(=O)OCCN	761.089	760.5778892	50	UltimateSplashOne
17:0-22:4 PE-d5	C44H75D5NO8P	C44H75D5NO8P	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)C([2H])([2H])OP([O-])(=O)OCC[NH3+]	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)C([2H])([2H])OP(O)(=O)OCCN	787.127	786.5935393	25	UltimateSplashOne
17:0-14:1 PG-d5	C37H65D5NaO10P	C37H66D5O10P	[Na+].[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCC)C([2H])([2H])OP([O-])(=O)OCC(O)CO	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCC)C([2H])([2H])OP(O)(=O)OCC(O)CO	733.951	711.5098692	25	UltimateSplashOne
17:0-16:1 PG-d5	C39H69D5NaO10P	C39H70D5O10P	[Na+].[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCC)C([2H])([2H])OP([O-])(=O)OCC(O)CO	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCC)C([2H])([2H])OP(O)(=O)OCC(O)CO	762.005	739.5411693	50	UltimateSplashOne
17:0-18:1 PG-d5	C41H73D5NaO10P	C41H74D5O10P	[Na+].[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])([2H])OP([O-])(=O)OCC(O)CO	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])([2H])OP(O)(=O)OCC(O)CO	790.059	767.5724695	75	UltimateSplashOne
17:0-20:3 PG-d5	C43H73D5NaO10P	C43H74D5O10P	[Na+].[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C([2H])([2H])OP([O-])(=O)OCC(O)CO	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)C([2H])([2H])OP(O)(=O)OCC(O)CO	814.081	791.5724695	50	UltimateSplashOne
17:0-22:4 PG-d5	C45H75D5NaO10P	C45H76D5O10P	[Na+].[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)C([2H])([2H])OP([O-])(=O)OCC(O)CO	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C@@]([2H])(OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)C([2H])([2H])OP(O)(=O)OCC(O)CO	840.119	817.5881195	25	UltimateSplashOne
