"name"	"md"	"leftend"	"rightend"	"LBint"	"LBslope"	"UBint"	"UBslope"
"373"	"[17]O1"	1.00421688	3542.647068378	4291.832675786	-0.0475570450466631	1.81552868167974e-05	0.0316262189438854	1.59541905649319e-06
"374"	"[17]O1"	1.00421688	4291.832675786	5263.132322072	-0.0475570450466631	1.81552868167974e-05	-0.0395759309312888	1.81855695245877e-05
"375"	"[17]O1"	1.00421688	5263.132322072	6177.02567967601	-0.0889116420156693	2.60126984185498e-05	-0.0395759309312888	1.81855695245877e-05
"376"	"[17]O1"	1.00421688	6177.02567967601	6214.98156154401	-0.0889116420156693	2.60126984185498e-05	0.0727567990216225	0
"377"	"[2]H1"	1.00627674600003	0	3.023475096	1.35525271560688e-20	6.93179605861786e-07	0	0.000114120232053385
"378"	"[2]H1"	1.00627674600003	3.023475096	115.148675608	1.35525271560688e-20	6.93179605861786e-07	0.000295418060229175	1.64121144571764e-05
"379"	"[2]H1"	1.00627674600003	115.148675608	129.164325672	1.35525271560688e-20	6.93179605861786e-07	0.000295418060229175	1.64121144571764e-05
"380"	"[2]H1"	1.00627674600003	129.164325672	165.921249772	1.35525271560688e-20	6.93179605861786e-07	0.000295418060229174	1.64121144571764e-05
"381"	"[2]H1"	1.00627674600003	165.921249772	246.896720864	-0.00012065243898649	1.42034649468576e-06	0.000295418060229174	1.64121144571764e-05
"382"	"[2]H1"	1.00627674600003	246.896720864	302.878544416	-0.000277216553389425	2.05447445659245e-06	0.000295418060229174	1.64121144571764e-05
"383"	"[2]H1"	1.00627674600003	302.878544416	409.477326952	-0.000376220951765348	2.38135267296404e-06	0.000295418060229174	1.64121144571764e-05
"384"	"[2]H1"	1.00627674600003	409.477326952	451.524277144	-0.000376220951765348	2.38135267296404e-06	0.000295418060229174	1.64121144571764e-05
"385"	"[2]H1"	1.00627674600003	451.524277144	465.539927208	-0.000376220951765348	2.38135267296404e-06	0.000295418060229203	1.64121144571763e-05
"386"	"[2]H1"	1.00627674600003	465.539927208	509.58995141	-0.000376220951765348	2.38135267296404e-06	0.000642852059946792	1.56658111233221e-05
"387"	"[2]H1"	1.00627674600003	509.58995141	640.96059114	-0.000376220951765348	2.38135267296404e-06	0.0011906327193679	1.45908671258876e-05
"388"	"[2]H1"	1.00627674600003	640.96059114	887.952308176	-0.00111404237402166	3.53247090465444e-06	0.0011906327193679	1.45908671258876e-05
"389"	"[2]H1"	1.00627674600003	887.952308176	1186.166717616	-0.00111404237402166	3.53247090465444e-06	0.00387285167947011	1.15701880472872e-05
"390"	"[2]H1"	1.00627674600003	1186.166717616	1227.020075636	-0.00111404237402166	3.53247090465444e-06	0.0073148766834685	8.66838263251692e-06
"391"	"[2]H1"	1.00627674600003	1227.020075636	1690.355652632	-0.00159226393810664	3.92221315384877e-06	0.0073148766834685	8.66838263251692e-06
"392"	"[2]H1"	1.00627674600003	1690.355652632	2693.197741276	-0.00159226393810664	3.92221315384877e-06	0.0138907935413653	4.77812625501575e-06
"393"	"[2]H1"	1.00627674600003	2693.197741276	3134.602460472	-0.0177668451625869	9.92792932410554e-06	0.0138907935413653	4.77812625501575e-06
"394"	"[2]H1"	1.00627674600003	3134.602460472	3296.655283892	-0.0177668451625869	9.92792932410554e-06	0.00662120714185549	7.09726767444001e-06
"395"	"[2]H1"	1.00627674600003	3296.655283892	3458.708107312	-0.0177668451625869	9.92792932410554e-06	0.00662120714185564	7.09726767443996e-06
"396"	"[2]H1"	1.00627674600003	3458.708107312	5225.176440204	-0.0177668451625869	9.92792932410554e-06	0.00729807383765392	6.90156839170277e-06
"397"	"[2]H1"	1.00627674600003	5225.176440204	6214.98156154401	-0.0177668451625869	9.92792932410554e-06	0.0395717957274237	7.24988086883469e-07
"187"	"[34]S1"	1.99579613999992	0	32.979895762	0	2.1846459575782e-05	0	0.00135663108413583
"188"	"[34]S1"	1.99579613999992	32.979895762	76.951966492	0	2.1846459575782e-05	0.0111845304741477	0.00101749931262081
"189"	"[34]S1"	1.99579613999992	76.951966492	206.855899476	0	2.1846459575782e-05	-0.0165321744638354	0.00137768120531961
"190"	"[34]S1"	1.99579613999992	206.855899476	306.890570462	0	2.1846459575782e-05	0.175930848220789	0.000447260447815641
"191"	"[34]S1"	1.99579613999992	306.890570462	1507.959155978	0	2.1846459575782e-05	0.30175874207971	3.72514544813166e-05
